dataset;classifier;algorithm;feature-count;auc-score;auc-std;accu-score;accu-std
cirrhosis;svm;random-forest;80;0.818;0.097;0.729;0.092
cirrhosis;svm;random-forest;90;0.822;0.091;0.75;0.104
cirrhosis;svm;random-forest;100;0.816;0.093;0.746;0.098
cirrhosis;svm;random-forest;110;0.815;0.091;0.742;0.092
cirrhosis;svm;random-forest;120;0.82;0.09;0.741;0.088
cirrhosis;svm;random-forest;130;0.821;0.093;0.746;0.08
cirrhosis;svm;random-forest;140;0.819;0.093;0.746;0.08
cirrhosis;svm;random-forest;150;0.821;0.091;0.741;0.082
cirrhosis;svm;random-forest;160;0.823;0.092;0.742;0.086
cirrhosis;svm;random-forest;170;0.822;0.093;0.746;0.08
cirrhosis;svm;random-forest;180;0.82;0.092;0.75;0.076
cirrhosis;svm;random-forest;190;0.82;0.092;0.75;0.076
cirrhosis;svm;random-forest;200;0.822;0.093;0.746;0.093
cirrhosis;svm;mrmr;10;0.903;0.052;0.608;0.074
